,rank,country,company,name,cores,rmax
0,1,United States,IBM,Summit,"2,414,592","148,600.0"
1,2,United States,IBM / NVIDIA / Mellanox,Sierra,"1,572,480","94,640.0"
2,3,China,NRCPC,Sunway TaihuLight,"10,649,600","93,014.6"
3,4,China,NUDT,Tianhe-2A,"4,981,760","61,444.5"
4,5,United States,Dell EMC,Frontera,"448,448","23,516.4"
5,6,Switzerland,Cray/HPE,Piz Daint,"387,872","21,230.0"
6,7,United States,Cray/HPE,Trinity,"979,072","20,158.7"
7,8,Japan,Fujitsu,AI Bridging Cloud Infrastructure (ABCI),"391,680","19,880.0"
8,9,Germany,Lenovo,SuperMUC-NG,"305,856","19,476.6"
9,10,United States,IBM / NVIDIA / Mellanox,Lassen,"288,288","18,200.0"
10,11,France,IBM,PANGEA III,"291,024","17,860.0"
11,12,United States,IBM,Sequoia,"1,572,864","17,173.2"
12,13,United States,Cray/HPE,Cori,"622,336","14,014.7"
13,14,"Korea, South",Cray/HPE,Nurion,"570,020","13,929.3"
14,15,Japan,Fujitsu,Oakforest-PACS,"556,104","13,554.6"
15,16,Italy,HPE,HPC4,"253,600","12,210.0"
16,17,France,Atos,Tera-1000-2,"561,408","11,965.5"
17,18,United States,Dell EMC,Stampede2,"367,024","10,680.7"
18,19,Italy,Lenovo,Marconi Intel Xeon Phi,"348,000","10,384.9"
19,20,United States,Nvidia,DGX SuperPOD,"127,488","9,444.0"
20,21,Taiwan,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwania 2,"170,352","9,000.0"
21,22,United States,IBM,Mira,"786,432","8,586.6"
22,23,Japan,HPE,TSUBAME3.0,"135,828","8,125.0"
23,24,United States,IBM,AiMOS,"130,000","8,045.0"
24,25,United States,HPE,PupMaya,"169,920","7,483.7"
25,26,United Arab Emirates,Nvidia,Artemis,"107,568","7,257.0"
26,27,United Kingdom,Cray/HPE,,"241,920","7,038.9"
27,28,United States,Cray/HPE,Theta,"280,320","6,920.9"
28,29,Russia,Nvidia,Christofari,"99,600","6,669.0"
29,30,Spain,Lenovo,MareNostrum,"153,216","6,470.8"
30,31,Germany,Atos,JUWELS Module 1,"114,480","6,177.7"
31,32,United States,HPE,Pleiades,"241,108","5,951.6"
32,33,Japan,Cray Inc./Hitachi,,"135,792","5,730.5"
33,34,Japan,Cray Inc./Hitachi,,"135,792","5,730.5"
34,35,Germany,Cray/HPE,Hazel Hen,"185,088","5,640.2"
35,36,Germany,Intel,COBRA,"127,520","5,612.8"
36,37,United States,HPE,Sawtooth,"96,480","5,587.9"
37,38,Saudi Arabia,Cray/HPE,Shaheen II,"196,608","5,537.0"
38,39,United States,HPE,Electra,"124,416","5,444.6"
39,40,Germany,Atos,Lise,"103,680","5,355.9"
40,41,France,HPE,Pangea,"220,800","5,283.1"
41,42,United States,HPE,TX-GAIA (Green AI Accelerator),"88,400","5,161.0"
42,43,United States,HPE,Eagle,"75,600","4,850.7"
43,44,United States,HPE,Cheyenne,"144,900","4,788.2"
44,45,Japan,Fujitsu,ITO - Subsystem A,"72,000","4,540.7"
45,46,France,HPE,Jean Zay,"93,960","4,478.0"
46,47,Australia,Fujitsu / Lenovo,Gadi Phase 1,"72,576","4,407.5"
47,48,China,Sugon,Advanced Computing System(PreE),"163,840","4,325.0"
48,49,United States,IBM,Vulcan,"393,216","4,293.3"
49,50,Japan,Fujitsu,Oakbridge-CX,"76,608","4,289.9"
50,51,Japan,HPE,,"70,416","4,128.0"
51,52,France,Atos,JOLIOT-CURIE SKL,"79,488","4,065.6"
52,53,United States,Cray/HPE,Abel,"145,920","4,042.5"
53,54,United Kingdom,Cray/HPE,,"126,468","3,944.7"
54,55,United Kingdom,Cray/HPE,,"126,468","3,944.7"
55,56,Germany,"T-Platforms, Intel, Dell",JURECA,"155,150","3,782.6"
56,57,India,Cray/HPE,Pratyush,"119,232","3,763.9"
57,58,Japan,HPE,,"65,208","3,712.0"
58,59,France,Atos,JOLIOT-CURIE ROME,"160,000","3,686.3"
59,60,United States,Dell EMC,Orion,"70,560","3,665.7"
60,61,United States,HPE,Joule 2.0,"86,400","3,608.6"
61,62,United States,Cray/HPE,,"72,800","3,577.0"
62,63,United States,Cray/HPE,,"72,800","3,577.0"
63,64,United States,Cray/HPE,ONYX,"160,304","3,409.6"
64,65,United States,HPE,Topaz,"124,200","3,318.9"
65,66,United States,Self-made,,"60,512","3,307.0"
66,67,United States,Nvidia,DGX Saturn V,"60,512","3,307.0"
67,68,United Kingdom,Atos,Damson,"113,832","3,243.4"
68,69,United States,"Penguin Computing, Inc.",LLNL/NNSA CTS-1 MAGMA,"62,400","3,241.2"
69,70,United States,HPE,Mustang,"55,296","3,221.4"
70,71,Italy,IBM,HPC2,"72,000","3,188.0"
71,72,Japan,Fujitsu,SORA-MA,"110,160","3,157.0"
72,73,United States,Cray/HPE,,"225,984","3,143.5"
73,74,United States,HPE,Thunder,"152,692","3,126.2"
74,75,China,Lenovo,,"76,000","3,088.6"
75,76,Canada,Lenovo,Niagara,"60,000","3,074.2"
76,77,Japan,Cray/HPE,Camphor 2,"122,400","3,057.3"
77,78,United States,Nvidia,Circe,"47,808","3,057.0"
78,79,France,HPE,Jean Zay,"61,120","3,054.3"
79,80,Germany,Atos,Mistral,"99,072","3,010.7"
80,81,China,Lenovo,,"73,600","2,994.0"
81,82,Sweden,ClusterVision / Hammer,Tetralith,"64,512","2,969.2"
82,83,China,Lenovo,,"72,000","2,931.8"
83,84,Japan,Fujitsu,,"92,160","2,910.0"
84,85,Germany,IBM/Lenovo,SuperMUC,"147,456","2,897.0"
85,86,Germany,Lenovo/IBM,SuperMUC Phase 2,"86,016","2,813.6"
86,87,United Kingdom,Cray/HPE,,"89,856","2,801.8"
87,88,United Kingdom,Cray/HPE,,"89,856","2,801.8"
